date,pain,infection,allergy,common cold,diabetes,itch,anxiety,skin rash,acne,hypertension,swelling,inflammation,cough,back pain,obesity,arthritis,fatigue,abdominal pain,depression,fever
1/1/2020,37.07339747,27.56843719,9.922249773,17.92421038,8.573461966,6.798007469,7.655673232,7.182677411,7.785173095,7.176660758,5.42968297,5.941021188,8.610847651,5.606572784,5.504123351,5.20518444,4.911601765,4.72050418,4.753806452,4.936400672
2/1/2020,36.23648589,29.15974745,10.05949012,19.51337884,8.55204647,6.719442885,7.755217748,6.457634834,7.469291895,7.232520882,5.444051632,5.872343639,8.690287538,5.520636958,5.409156024,5.14598884,4.956096369,4.634584849,4.870096264,5.327107457
3/1/2020,33.24719084,53.36638406,11.90523679,30.30017485,7.1607568,6.547123253,7.30174857,6.443358476,7.283796491,6.373190065,4.915650159,5.689489878,10.49352069,4.60844412,4.486241716,5.873986433,4.392943592,4.15182559,4.019283122,9.699145049
4/1/2020,32.06077319,27.09411772,11.51461647,12.91410899,6.725506752,7.409710298,7.020619256,6.919722304,9.112433477,5.93447279,4.846456239,4.980340808,4.866594837,4.807606757,4.790157269,5.688344479,4.031357562,4.005829685,4.130759588,5.510514671
5/1/2020,33.74251198,21.12176315,11.50400098,7.295259774,7.232291289,8.867910605,6.910627896,8.418051996,8.332575615,5.860952714,5.567719369,4.971681363,3.200723539,5.067877926,5.061105475,5.38492969,4.128788507,4.05884375,4.17076865,4.69364629
6/1/2020,35.92160468,21.52703316,12.22618926,6.442915497,7.895969471,10.41749139,7.055465996,9.406968273,7.993317673,6.452393778,6.200318698,5.245971012,3.718639596,5.373491843,5.207798171,5.103326658,4.505649532,4.293297574,4.319518466,3.812869145
7/1/2020,36.24169405,23.78447417,12.5701768,8.090157361,7.982702135,10.37871862,7.272390664,9.130248654,7.798288786,6.613849309,6.281890897,5.414953399,3.728540714,5.375809229,5.15481289,6.034537583,4.614009795,4.460421697,4.364886784,4.529834491
8/1/2020,34.84245498,21.21680448,11.72629539,7.010310462,8.671407505,9.14720723,7.354107156,7.801883112,7.473252227,6.397220902,5.856515734,5.350465003,3.441627243,5.355862791,4.818040982,5.231636091,4.472731802,4.418263088,4.287396048,3.873032526
9/1/2020,34.26298737,20.551244,10.98349249,7.353935732,7.910144873,7.696542134,7.618336785,6.693522272,7.018532324,6.514657972,5.441030483,5.408145974,3.663323267,5.237851902,4.981329015,4.821080025,4.535628367,4.30097623,4.512189819,3.73531397
10/1/2020,33.94449464,20.46089035,9.861600503,8.161555346,8.163685787,6.649377506,7.659395164,5.892074044,6.937617434,6.670496578,5.21787032,5.234425428,4.167588114,5.168248513,5.13919966,4.88664576,4.56613481,4.18380922,4.614225527,3.86958383
