,date,mob_total,new_confirmed,new_deceased,population,covid_severity
65,2020-04-20,-25188.0,70998.0,5571.0,7749930097.0,1.6349566823712216e-05
66,2020-04-21,-24152.0,73803.0,6149.0,7756777743.0,1.7441907513992307e-05
67,2020-04-22,-23740.0,76938.0,5533.0,7757427085.0,1.705049864480937e-05
68,2020-04-23,-23605.0,91135.0,5510.0,7757427085.0,1.8850966744214006e-05
69,2020-04-24,-24632.0,81167.0,5557.0,7749930097.0,1.764364301207451e-05
70,2020-04-25,-25208.0,76242.0,6094.0,7756777743.0,1.7685436471838846e-05
71,2020-04-26,-25646.0,64941.0,4409.0,7749930097.0,1.4068643024561721e-05
72,2020-04-27,-23368.0,71850.0,4879.0,7749930097.0,1.5566592019546057e-05
73,2020-04-28,-22988.0,72833.0,5646.0,7749930097.0,1.66831182193565e-05
74,2020-04-29,-22659.0,76834.0,5738.0,7757427085.0,1.7301355014927608e-05
75,2020-04-30,-20507.0,83973.0,5673.0,7749930097.0,1.8155389563380213e-05
76,2020-05-01,-28290.0,81165.0,5323.0,7757427085.0,1.7324687493340454e-05
77,2020-05-02,-23012.0,78425.0,6206.0,7749930097.0,1.812726027740325e-05
78,2020-05-03,-23571.0,74152.0,4305.0,7749280755.0,1.5124242327183564e-05
79,2020-05-04,-20443.0,75806.0,4400.0,7757427085.0,1.544403816977675e-05
80,2020-05-05,-19952.0,76185.0,5841.0,7749280755.0,1.736870869121066e-05
81,2020-05-06,-19581.0,90334.0,5881.0,7749280755.0,1.9246173253404084e-05
82,2020-05-07,-18787.0,89462.0,5570.0,7757427085.0,1.8712647687103592e-05
83,2020-05-08,-18855.0,89663.0,4988.0,7749280755.0,1.8007219561630144e-05
84,2020-05-09,-18116.0,84076.0,6161.0,7749280755.0,1.879993829182151e-05
85,2020-05-10,-19389.0,71935.0,3915.0,7756777743.0,1.4321023971615942e-05
86,2020-05-11,-18442.0,79087.0,4277.0,7749930097.0,1.572362569401379e-05
87,2020-05-12,-17989.0,85283.0,4988.0,7749930097.0,1.744054440598395e-05
88,2020-05-13,-17951.0,84955.0,4740.0,7756777743.0,1.706314198823629e-05
